,my_mac,my_startdate,my_affil,my_group,my_office,my_plan,my_provider,my_community,my_minutes,my_enddate,my_hashedNumber,my_hours,my_regular,my_hangouts,my_predictable,my_forget,my_battery,my_sick,my_sickrecently,my_travel,my_data,my_texts,my_intros,mac,id
0,,,,,,,,,,,,,,,,,,,,,,,,413785662906.0,1
1,,732338.6962384259,,,,,,,,732340.1071990741,,,,,,,,,,,,,,61961024886.0,2
2,000e6d2a3577,8/18/2004,1styeargrad ,sandy,384b,,,a little close,,732193.4964004629,,9am-12pm*,very,nowhere else,very,occasionally,,,,,,,never,61961024887.0,3
3,000e6d2a357b,8/1/2004,mlgrad,sandy,386,national,T-mobile,very close,1000*,732437.0343402778,4.0,10am-8pm*,somewhat,restaurant/bar; friends,very,never,Rarely - once/month,occasionally (2-4 times a year),No,Often - week/month,Unlimited,very often,occasionally,61961024891.0,4
4,000e6d2a35a1,8/1/2004,mlgrad,sandy,384b,national,T-mobile,somewhat close,500,732330.0411921296,5.0,11am-8pm,somewhat,friends,somewhat,occasionally,,,,,,often,never,61961024929.0,5
5,000e6d2a35bc,8/1/2004,mlgrad,cynthia,468a,national,T-mobile,somewhat,500,732324.7281481482,6.0,11am-8pm,somewhat,restaurant/bar; friends,very,rarely,Often - once/day,rarely (once a year or less),No,Rarely - several days/term,None,very often,often,61961024956.0,6
6,000e6d2a359f,8/1/2004,grad,sandy,,local,other*,a little close,other*,732194.3910185185,7.0,9am-5pm,somewhat,restaurant/bar,somewhat,occasionally,,,,,,never,never,61961024927.0,7
7,000e6d2a3623,8/1/2004,mlgrad,sandy,386,national,T-mobile,somewhat,500,732416.6054976851,8.0,2pm-11pm,very,restaurant/bar,very,occasionally,Often - once/day,rarely (once a year or less),"Yes, in the last week",Sometimes - several days/month,None,never,often,61961025059.0,8
8,000e6d2b06ea,9/2/2004,professor,sandy,387,international,T-mobile,very close,500,732437.3390625,9.0,9am-5pm,very,car*,very,rarely,Never,rarely (once a year or less),No,Often - week/month,Unlimited,rarely,often,61961078506.0,9
9,000e6d2a35af,9/10/2004,mlgrad,mitch,120b,national,T-mobile,somewhat close,family plan,732402.6697222223,10.0,9am-5pm,very,friends; daycare at stata*,very,occasionally,Occasionally - once/week,occasionally (2-4 times a year),"Yes, in the last month",Rarely - several days/term,None,never,often,61961024943.0,10
10,000e6d2a3564,12/13/2004,mlstaff,,,,,,,732253.4152662037,11.0,,,,,,,,,,,,,61961024868.0,11
11,000e6d2b0725,8/1/2004,mlgrad,pattie,351,national,T-mobile,somewhat,500,732437.0325115741,12.0,11am-8pm,somewhat,friends,very,never,,,,,,occasionally,often,61961078565.0,12
12,000e6d2a35b6,10/21/2004,grad,,Europe,Prepay,O2,somewhat close,Prepay,732451.9913657408,,11am-8pm,very,restaurant/bar; in town*,somewhat,rarely,Often - once/day,rarely (once a year or less),No,Rarely - several days/term,Unlimited,often,often,61961024950.0,13
13,000e6d2b0726,11/16/2004,sloan,Surfers,indian,,,,,732288.0350231482,14.0,,,,,,,,,,,,,61961078566.0,14
14,000e6d2a35c8,8/19/2004,1styeargrad ,pattie,320a,national,T-mobile,very close,500,732288.7899189815,15.0,9am-5pm,somewhat,friends; travelling*,somewhat,never,Often - once/day,occasionally (2-4 times a year),"Yes, in the last two weeks",Rarely - several days/term,None,rarely,occasionally,61961024968.0,15
15,000e6d2a35c3,8/25/2004,1styeargrad ,chris,384c,national,T-mobile,a little close,200,732415.9572453704,16.0,11am-8pm,somewhat,restaurant/bar; gym; friends,somewhat,rarely,Never,rarely (once a year or less),No,Rarely - several days/term,None,rarely,rarely,61961024963.0,16
16,000e6d2407d7,8/26/2004,mlstaff,necsys,473c,national,T-mobile,very close,200,732328.9261226852,17.0,9am-5pm,very,restaurant/bar,very,rarely,Rarely - once/month,rarely (once a year or less),No,Often - week/month,Unlimited,very often,occasionally,61960619991.0,17
17,,732178.6110763889,,,,,,,,732210.6268518518,,,,,,,,,,,,,,61961078610.0,18
18,000e6d2a35a9,8/25/2004,1styeargrad ,chriss,384c,national,T-mobile,a little close,500,732403.0013425926,19.0,9am-5pm,very,friends,very,rarely,,,,,,rarely,never,61961024937.0,19
19,000e6d2a3538,9/2/2004,1styeargrad ,andy,468c,national,cingular,somewhat,500,732484.9337615741,20.0,9am-5pm,somewhat,friends,somewhat,rarely,,,,,,rarely,occasionally,61961024824.0,20
20,000e6d2a3590,8/26/2004,1styeargrad ,,350,national,T-mobile,somewhat,500,732431.6943518518,21.0,11am-8pm,very,restaurant/bar; friends,somewhat,never,Rarely - once/month,rarely (once a year or less),No,Rarely - several days/term,None,never,occasionally,61961024912.0,21
21,000e6d2a35aa,9/2/2004,1styeargrad ,chrisc,020c,national,cingular,somewhat,500,732432.4548611111,22.0,11am-8pm,somewhat,--,somewhat,rarely,Often - once/day,occasionally (2-4 times a year),No,Sometimes - several days/month,Pay as you go/Pay per kB,often,rarely,61961024938.0,22
22,000e6d2a3609,8/1/2004,mlgrad,sandy,388,national,T-mobile,somewhat,500,732436.9019212963,23.0,2pm-11pm,very,restaurant/bar; gym,very,never,Rarely - once/month,rarely (once a year or less),"Yes, in the last month",Sometimes - several days/month,Pay as you go/Pay per kB,often,often,61961025033.0,23
23,,732186.5493287037,,,,,,,,732211.4345949074,,,,,,,,,,,,,,61961024884.0,24
24,000e6d29022a,8/19/2004,mlgrad,henry,385,national,T-mobile,a little close,500,732488.7478125,25.0,11am-8pm,somewhat,restaurant/bar,somewhat,rarely,Rarely - once/month,occasionally (2-4 times a year),"Yes, in the last week",Sometimes - several days/month,None,never,often,61960946218.0,25
25,000e6d2b072d,9/7/2004,1styeargrad ,andy,468c,national,T-mobile,a little close,200,732330.0668981482,26.0,11am-8pm,very,dorm*,very,never,,,,,,never,often,61961078573.0,26
26,000e6d2a3555,9/1/2004,mlgrad,pattie,,national,T-mobile,a little close,500,732324.5467361112,27.0,9am-5pm,very,,very,occasionally,,,,,,rarely,occasionally,61961024853.0,27
27,000e6d2902ad,9/7/2004,1styeargrad ,,,,,,,732322.9139467593,28.0,,,,,,Rarely - once/month,rarely (once a year or less),"Yes, in the last month",Rarely - several days/term,None,,,61961078595.0,28
28,000e6d2b0743,9/9/2004,mlgrad,mitch,020,national,verizon,a little close,200,732380.6036574075,29.0,9am-5pm,somewhat,working with community centers around boston*,somewhat,occasionally,Occasionally - once/week,occasionally (2-4 times a year),No,Very often - more than a week/month,None,never,rarely,61960946349.0,29
29,000e6d29021f,8/1/2005,mlgrad,sandy,383b,national,T-mobile,somewhat,500,732417.7923726852,30.0,9am-5pm,very,restaurant/bar,very,occasionally,,,,,,occasionally,often,61960946207.0,30
